OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,TeamPOPS,OppPOPS
68,Virginia Tech,Win 13-8,-10.36,Counts,0.0493,2022-02-05,Warm Up 2022,1,13,8,496.16,5,1363.18,2069.59,1859.3400000000001,2079.9500000000003,1859.3400000000001,91.665462,Brigham Young,0.6190476190476191,0.38095238095238093
49,Utah,Win 11-5,2.29,Counts,0.0604,2022-03-12,Big Sky Brawl,1,11,5,600,6,1494.93,2056.93,2094.9300000000003,2054.64,2094.9300000000003,126.53377200000003,Brigham Young,0.6875,0.3125
25,Carleton College,Win 13-6,17.32,Counts,0.0697,2022-03-18,Missouri Loves Company MLC,1,13,6,600,7,1690.42,2041.91,2290.42,2024.5900000000001,2290.42,159.64227400000001,Brigham Young,0.6842105263157895,0.3157894736842105
15,Minnesota,Win 13-6,26.49,Counts,0.0697,2022-03-19,Missouri Loves Company MLC,1,13,6,600,7,1812.87,2032.74,2412.87,2006.25,2412.87,168.17703899999998,Brigham Young,0.6842105263157895,0.3157894736842105
42,Colorado State,Win 13-8,-2.97,Counts,0.0697,2022-03-19,Missouri Loves Company MLC,1,13,8,496.16,5,1523.44,2062.2,2019.6000000000001,2065.1699999999996,2019.6000000000001,140.76612,Brigham Young,0.6190476190476191,0.38095238095238093
50,Illinois,Win 13-5,1.24,Counts,0.0697,2022-03-19,Missouri Loves Company MLC,1,13,5,600,8,1475.72,2057.99,2075.7200000000003,2056.75,2075.7200000000003,144.67768400000003,Brigham Young,0.7222222222222222,0.2777777777777778
6,Vermont,Win 13-7,37.15,Counts,0.0697,2022-03-19,Missouri Loves Company MLC,1,13,7,557.53,6,1997.7,2022.08,2555.23,1984.9299999999998,2555.23,178.09953099999998,Brigham Young,0.65,0.35
4,Brigham Young,Loss 7-13,-16.37,Counts,0.0304,2022-02-05,Warm Up 2022,0,7,13,-557.53,-6,2059.23,2040.53,1501.7,2056.9,1501.7,45.65168,Pittsburgh,0.35,0.65
47,Florida,Win 13-11,-9.18,Counts,0.0304,2022-02-05,Warm Up 2022,1,13,11,228.84,2,1502.41,2033.33,1731.25,2042.51,1731.25,52.63,Pittsburgh,0.5416666666666666,0.4583333333333333
26,Auburn,Win 13-4,7.42,Counts,0.0304,2022-02-05,Warm Up 2022,1,13,4,600,9,1660.94,2016.74,2260.94,2009.32,2260.94,68.732576,Pittsburgh,0.7647058823529411,0.23529411764705882
15,Minnesota,Win 11-10,-2.7,Counts,0.0304,2022-02-05,Warm Up 2022,1,11,10,125,1,1812.87,2026.86,1937.87,2029.56,1937.87,58.91124799999999,Pittsburgh,0.5238095238095238,0.47619047619047616
8,Massachusetts,Loss 10-12,-9.14,Counts,0.0304,2022-02-05,Warm Up 2022,0,10,12,-238.12,-2,1970.45,2033.3,1732.33,2042.44,1732.33,52.662831999999995,Pittsburgh,0.45454545454545453,0.5454545454545454
47,Florida,Win 14-12,-9.42,Counts,0.0304,2022-02-05,Warm Up 2022,1,14,12,220.96,2,1502.41,2033.58,1723.3700000000001,2043,1723.3700000000001,52.390448000000006,Pittsburgh,0.5384615384615384,0.46153846153846156
